-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
1,-2,-2,-2,-2,-2,-2,-2,2,-2
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10,-2,-2,-2,9,-2,-2,-2,-2,-2
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-2,-2,13,-2,-2,-2,5,-2,-2,6
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-2,-2,-2,-2,-2,-2,4,-2,3,-2
11,-2,12,-2,8,-2,-2,-2,-2,7
e,,,,,,,,,
/,0,0,,,,,,,
MINION,/,20,2,,,,,,
MINION,/,20,3,,,,,,
MINION,MINION,/,20,2,,,,,
MINION,MINION,/,30,4,,,,,
MINION,SPEED,MINION,/,15,4,,,,
SPEED,MINION,SPEED,/,15,4,,,,
MINION,SPEED,MINION,SPEED,/,15,3,,,
TANK,/,45,2,,,,,,
TANK,SPEED,MINION,/,20,4,,,,
TANK,SPEED,MINION,MINION,/,20,6,,,
TANK,/,50,4,,,,,,
BOSS,/,1,1,,,,,,
SPEED,SPEED,TANK,MINION,/,20,4,,,
SPEED,ICE,SPEED,ICE,/,20,4,,,
SPEED,ICE,ICE,ICE,/,20,4,,,
SPEED,TANK,TANK,ICE,/,20,4,,,
MINION,SPEED,SPEED,ICE,/,20,4,,,
MINION,MINION,ICE,ICE,/,20,5,,,
SPEED,SPEED,ICE,ICE,/,30,5,,,
TANK,TANK,SPEED,ICE,/,30,4,,,
SPEED,/,60,6,,,,,,
TANK,ICE,SPEED,ICE,/,50,5,,,
TANK,ICE,SPEED,ICE,/,50,6,,,
BOSS,/,3,1,,,,,,
